'CODPRO','REFPRO','NOMPRO','PERAVI','PERPRA','DATCAD','DATEXP','INATIV'
118,'TT387-9','BRINQ. ROBO REF:TT387-9','31,36','31,36','16/05/2011 12:00:57','07/02/2013 01:15:08','N'
119,'TT936','BRINQ. ROBO REF:TT936','31,01','31,01','16/05/2011 12:01:37','07/02/2013 01:15:08','N'
120,'TT938','BRINQ. ROBO REF:TT938','14,70','14,70','16/05/2011 12:02:13','07/02/2013 01:15:08','N'
121,'TT766','BRINQ. ROBO REF:TT766','100,31','100,31','16/05/2011 12:02:47','07/02/2013 01:15:08','N'
122,28088,'BRINQ. ROBO REF:28088','99,82','99,82','16/05/2011 12:03:34','07/02/2013 01:15:08','N'
123,,'BRINQUEDO  REF:','0,00','0,00','14/06/2011 14:22:11','07/02/2013 01:15:08','N'
124,,'BRINQUEDO  REF:','0,00','0,00','14/06/2011 14:22:12','07/02/2013 01:15:08','N'
125,,'BRINQUEDO  REF:','0,00','0,00','14/06/2011 14:22:13','07/02/2013 01:15:08','N'
126,'6907-B','BRINQ.MUS. MIC. MUSIC REF:6907-B','55,12','55,12','29/06/2011 15:15:42','07/02/2013 01:15:08','N'
210,'EDX-163','LIQUIDIFICADOR 220 VOL. REF.EDX-163','35,00','55,00','12/06/2012 11:13:20','06/03/2013 11:19:21','N'
127,'6907-C','BRINQ. MICROF. MUSIC REF:6907-C','55,12','55,12','29/06/2011 15:16:34','07/02/2013 01:15:08','N'
961,200115,'BASTAO BRASILEIRINHA 11,2X30CM 1KG.REF:200116','38,06','60,00','03/10/2012 10:35:26','07/03/2013 10:23:43','N'
128,6907,'BRINQ.MUSICAL MICRFONE REF:6907','55,12','55,12','29/06/2011 15:17:06','07/02/2013 01:15:08','N'
129,886,'BRINQ.MUSICAL BRINQ MUS INFAN REF:886','23,96','23,96','29/06/2011 15:18:11','07/02/2013 01:15:08','N'
130,3355,'BRINQ.MUS. VARINHA  INF REF:3355','55,05','55,05','29/06/2011 15:18:46','07/02/2013 01:15:08','N'
131,3366,'BRINQ.MUS. VARINHA INF REF:3366','55,05','55,05','29/06/2011 15:19:16','07/02/2013 01:15:08','N'
132,'BB88-3','BRINQ.  MINI BARRACA  INF. REF:BB88-3','13,74','13,74','29/06/2011 15:20:44','07/02/2013 01:15:08','N'
133,'15258F','BOLA MINI  INF. C/ 04PÇS REF:15258F','39,69','39,69','29/06/2011 15:21:38','07/02/2013 01:15:08','N'
134,121,'BRINQUEDO MINI GOL REF:121','55,16','55,16','29/06/2011 15:22:17','07/02/2013 01:15:08','N'
135,122,'BRINQUEDO MINI GOL REF:122','0,00','14,98','29/06/2011 15:22:43','07/02/2013 01:15:08','N'
136,'206-B','BRINQ. MINI FLAUTA INF REF:206-B','55,17','55,17','29/06/2011 15:23:25','07/02/2013 01:15:08','N'
137,256,'BRINQ. MINI CORNETA IN REF:256','55,17','55,17','29/06/2011 15:24:37','07/02/2013 01:15:08','N'
138,526,'BRINQ.MUSICAL CARRINHO MUSICA REF:526','55,23','55,23','29/06/2011 15:25:25','07/02/2013 01:15:08','N'
139,516,'BRINQ.MUSICAL CARRINHA MUSICA REF:516','55,19','55,19','29/06/2011 15:25:53','07/02/2013 01:15:08','N'
140,756,'BRINQ. MUSIC CAR.  REF:756','55,21','55,21','29/06/2011 15:26:30','07/02/2013 01:15:08','N'
141,'HD-9834B','BRINQ. CARRI CONT. REM. REF:HD-9834B','129,58','164,00','01/07/2011 12:16:33','07/02/2013 01:15:08','N'
142,'HD-9831B','BRINQ. CARR CONT. REM. REF:HD-9831B','130,87','165,48','01/07/2011 12:17:33','07/02/2013 01:15:08','N'
143,28090,'BRINQ. CARR CONT. REMOTO REF:28090','200,71','200,71','01/07/2011 12:18:29','07/02/2013 01:15:08','N'
144,'28096A','BRINQ. CARR CONT. REM. REF:28096A','238,78','238,78','01/07/2011 12:19:48','07/02/2013 01:15:08','N'
145,'28092/3/5A','BRINQ. CARR CONT. REMOTO REF:28092/3/5A','67,68','67,68','01/07/2011 12:20:57','07/02/2013 01:15:08','N'
146,'JH-2137B','BRINQ. CARR CONT. REM. REF:JH-2137B','114,45','152,39','01/07/2011 12:22:46','07/02/2013 01:15:08','N'
147,'JH-2161B','BRINQ. CAR CONT. REM. REF:JH-2161B','152,29','152,29','01/07/2011 12:23:41','07/02/2013 01:15:08','N'
148,'3699-A8/A10','BRINQ. CARR CONT.REM. REF:3699-A8/A10','193,47','193,47','01/07/2011 12:24:58','07/02/2013 01:15:08','N'
149,'SB-011','BRINQ. FEIJAO MAG. 2PCS REF:SB-011','286,11','286,11','01/07/2011 12:26:56','07/02/2013 01:15:08','N'
150,'SB-010','BRINQ. FEIJAO MAG. 3 PEÇAS  REF:SB-010','398,28','398,28','01/07/2011 12:28:54','07/02/2013 01:15:08','N'
151,'SB-009','BRINQ. FEIJAO MAGICO 6 PC REF:SB-009','250,00','250,00','01/07/2011 12:29:45','07/02/2013 01:15:08','N'
966,74428,'ARARA DE PELUCIA C/ CORAÇAO REF:74428','40,00','60,00','08/10/2012 11:28:03','07/03/2013 09:48:50','N'
152,28058,'BRINQ. PIANO MUS INFAN REF:28058','94,33','94,33','08/08/2011 11:47:25','07/02/2013 01:15:08','N'
153,28027,'BRINQ. PIANO MUS INFAN REF:28027','94,43','94,43','08/08/2011 11:49:24','07/02/2013 01:15:08','N'
154,28061,'BRINQ. PIANO MUS INFAN REF:28061','86,17','86,17','08/08/2011 11:52:41','07/02/2013 01:15:08','N'
155,'SD952','BRINQ. PIANO MUS INFAN REF:SD952','86,20','86,20','08/08/2011 11:56:02','07/02/2013 01:15:08','N'
156,'CY5091B','BRINQ. PIANO MUS INFAN REF:CY5091B','94,33','94,33','08/08/2011 11:57:03','07/02/2013 01:15:08','N'
157,3008,'BRINQ. PIANO MUS INFAN REF:3008','94,33','94,33','08/08/2011 11:57:52','07/02/2013 01:15:08','N'
158,'5094B','BRINQ.GUITARRA  MUS INFAN REF:5094B','94,33','94,33','08/08/2011 11:58:25','07/02/2013 01:15:08','N'
159,'CY-840B','BRINQ. PIANO MUS INFAN REF:CY-840B','19,92','43,89','08/08/2011 11:59:20','07/02/2013 01:15:08','N'
160,'CY-890C','BRINQ. PIANO MUS INFAN REF:CY-890C','94,47','94,47','08/08/2011 12:00:23','07/02/2013 01:15:08','N'
161,'CY-6007C','BRINQ. PIANO MUS INFAN REF:CY-6007C','18,27','18,27','08/08/2011 12:01:13','07/02/2013 01:15:08','N'
162,'810B','BRINQ.PIANO MUS INFAN REF:810B','61,95','61,95','08/08/2011 12:02:03','07/02/2013 01:15:08','N'
163,6600,'BRINQ.MUSICAL PIANO MUS INFAN REF:6600','19,98','43,98','08/08/2011 12:02:41','07/02/2013 01:15:08','N'
