'MATPRO','NOMPRO','VENAVI','VENPRA','DATCAD','DATEXP','INATIV'
,'BASTAO BRASILEIRINHA 11,2X30CM 1KG.REF:200116','15,49','17,95','03/10/2012 10:35:26','07/03/2013 10:23:43','N'
'CX-72PCS','BRINQ.MUSICAL MICRFONE REF:6907','16,8','16,8','29/06/2011 15:17:06','07/02/2013 01:15:08','N'
'CX-48PCS','BRINQ.MUSICAL BRINQ MUS INFAN REF:886','19,3','19,3','29/06/2011 15:18:11','07/02/2013 01:15:08','N'
'CX-120PCS','BRINQ.MUS. VARINHA  INF REF:3355','8,59','8,59','29/06/2011 15:18:46','07/02/2013 01:15:08','N'
'CX-120','BRINQ.MUS. VARINHA INF REF:3366','8,59','8,59','29/06/2011 15:19:16','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ.  MINI BARRACA  INF. REF:BB88-3','49,99','49,99','29/06/2011 15:20:44','07/02/2013 01:15:08','N'
'CX-180PCS','BOLA MINI  INF. C/ 04PÃ‡S REF:15258F','7,99','7,99','29/06/2011 15:21:38','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQUEDO MINI GOL REF:121','20,73','20,73','29/06/2011 15:22:17','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQUEDO MINI GOL REF:122','17,36','19,96','29/06/2011 15:22:43','07/02/2013 01:15:08','N'
'CX-60PCS','BRINQ. MINI FLAUTA INF REF:206-B','14,71','14,71','29/06/2011 15:23:25','07/02/2013 01:15:08','N'
'CX-48PCS','BRINQ. MINI CORNETA IN REF:256','17,86','17,86','29/06/2011 15:24:37','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQ.MUSICAL CARRINHO MUSICA REF:526','33,53','33,53','29/06/2011 15:25:25','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQ.MUSICAL CARRINHA MUSICA REF:516','28,09','28,09','29/06/2011 15:25:53','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQ. MUSIC CAR.  REF:756','35,73','35,73','29/06/2011 15:26:30','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQ. CARRI CONT. REM. REF:HD-9834B','24,68','28,38','01/07/2011 12:16:33','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQ. CARR CONT. REM. REF:HD-9831B','24,68','28,38','01/07/2011 12:17:33','07/02/2013 01:15:08','N'
'CX-4PCS','BRINQ. CARR CONT. REMOTO REF:28090','155,8','155,8','01/07/2011 12:18:29','07/02/2013 01:15:08','N'
'CX-18PCS','BRINQ. CARR CONT. REM. REF:28096A','61,42','61,42','01/07/2011 12:19:48','07/02/2013 01:15:08','N'
'CX-18PCS','BRINQ. CARR CONT. REMOTO REF:28092/3/5A','60,03','60,03','01/07/2011 12:20:57','07/02/2013 01:15:08','N'
'CX-4PCS','BRINQ. CARR CONT. REM. REF:JH-2137B',130,153,'01/07/2011 12:22:46','07/02/2013 01:15:08','N'
'CX-6PCS','BRINQ. CAR CONT. REM. REF:JH-2161B','114,34','114,34','01/07/2011 12:23:41','07/02/2013 01:15:08','N'
